"Time","prequal","roundrobin"
2026-06-08 16:04:24,5.65K req/s,0 req/s
2026-06-08 16:04:27,5.66K req/s,0 req/s
2026-06-08 16:04:30,5.68K req/s,0 req/s
2026-06-08 16:04:33,5.67K req/s,0 req/s
2026-06-08 16:04:36,4.75K req/s,0 req/s
2026-06-08 16:04:39,2.84K req/s,0 req/s
2026-06-08 16:04:42,933 req/s,0 req/s
2026-06-08 16:04:45,0 req/s,319 req/s
2026-06-08 16:04:48,0 req/s,1.71K req/s
2026-06-08 16:04:51,0 req/s,3.21K req/s
2026-06-08 16:04:54,0 req/s,4.49K req/s
2026-06-08 16:04:57,0 req/s,4.70K req/s
2026-06-08 16:05:00,0 req/s,4.80K req/s
2026-06-08 16:05:03,0 req/s,4.97K req/s
2026-06-08 16:05:06,0 req/s,5.06K req/s
2026-06-08 16:05:09,0 req/s,5.25K req/s
2026-06-08 16:05:12,0 req/s,5.18K req/s
2026-06-08 16:05:15,0 req/s,4.64K req/s
2026-06-08 16:05:18,0 req/s,2.86K req/s
2026-06-08 16:05:21,0 req/s,1.17K req/s
2026-06-08 16:05:24,0 req/s,0 req/s
2026-06-08 16:05:27,948 req/s,0 req/s
2026-06-08 16:05:30,2.73K req/s,0 req/s
2026-06-08 16:05:33,4.48K req/s,0 req/s
2026-06-08 16:05:36,5.40K req/s,0 req/s
2026-06-08 16:05:39,5.46K req/s,0 req/s
2026-06-08 16:05:42,5.60K req/s,0 req/s
2026-06-08 16:05:45,5.59K req/s,0 req/s
2026-06-08 16:05:48,5.63K req/s,0 req/s
2026-06-08 16:05:51,5.63K req/s,0 req/s
2026-06-08 16:05:54,5.64K req/s,0 req/s
2026-06-08 16:05:57,4.39K req/s,0 req/s
2026-06-08 16:06:00,2.51K req/s,0 req/s
2026-06-08 16:06:03,642 req/s,0 req/s
2026-06-08 16:06:06,0 req/s,538 req/s
2026-06-08 16:06:09,0 req/s,2.05K req/s
2026-06-08 16:06:12,0 req/s,3.50K req/s
2026-06-08 16:06:15,0 req/s,4.56K req/s
2026-06-08 16:06:18,0 req/s,4.74K req/s
2026-06-08 16:06:21,0 req/s,4.89K req/s
2026-06-08 16:06:24,0 req/s,4.69K req/s
2026-06-08 16:06:27,0 req/s,4.45K req/s
2026-06-08 16:06:30,0 req/s,4.23K req/s
2026-06-08 16:06:33,0 req/s,4.42K req/s
2026-06-08 16:06:36,0 req/s,3.81K req/s
2026-06-08 16:06:39,0 req/s,2.42K req/s
2026-06-08 16:06:42,0 req/s,839 req/s
2026-06-08 16:06:45,0 req/s,0 req/s
2026-06-08 16:06:48,1.21K req/s,0 req/s
2026-06-08 16:06:51,2.99K req/s,0 req/s
2026-06-08 16:06:54,4.89K req/s,0 req/s
2026-06-08 16:06:57,5.52K req/s,0 req/s
2026-06-08 16:07:00,5.56K req/s,0 req/s
2026-06-08 16:07:03,5.55K req/s,0 req/s
2026-06-08 16:07:06,5.62K req/s,0 req/s
2026-06-08 16:07:09,5.69K req/s,0 req/s
2026-06-08 16:07:12,5.68K req/s,0 req/s
2026-06-08 16:07:15,5.67K req/s,0 req/s
2026-06-08 16:07:18,4.13K req/s,0 req/s
2026-06-08 16:07:21,2.25K req/s,0 req/s
2026-06-08 16:07:24,347 req/s,0 req/s
2026-06-08 16:07:27,0 req/s,0 req/s
2026-06-08 16:07:30,0 req/s,0 req/s
2026-06-08 16:07:33,0 req/s,0 req/s
